user_id,file_id,prediction,score,model_used,true_label,is_correct,file_type,risk_level,file_size_kb,source,nb_features,has_js,has_embedded_files,user_profile_status
user_1,file_1,1,0.62,RandomForest,0,False,doc,high,1193,email,22,False,True,insufficient_data
user_1,file_2,1,0.88,RandomForest,1,True,doc,low,410,email,22,False,True,insufficient_data
user_1,file_3,0,0.84,RandomForest,0,True,pdf,high,394,usb,22,False,False,insufficient_data
user_1,file_4,1,0.88,RandomForest,1,True,xls,low,193,web,22,False,True,insufficient_data
user_1,file_5,1,0.89,RandomForest,1,True,pdf,high,376,email,22,True,True,suspicious
user_1,file_6,0,0.6,RandomForest,0,True,pdf,medium,378,email,22,False,True,suspicious
user_1,file_7,0,0.86,RandomForest,0,True,pdf,medium,311,usb,22,False,True,suspicious
user_1,file_8,1,0.82,RandomForest,1,True,pdf,low,1484,usb,22,True,False,suspicious
user_1,file_9,1,0.82,RandomForest,1,True,doc,high,949,web,22,True,False,suspicious
user_1,file_10,1,0.56,RandomForest,1,True,pdf,high,305,email,22,True,True,suspicious
user_1,file_11,0,0.77,RandomForest,0,True,xls,high,235,usb,22,True,True,suspicious
user_1,file_12,0,0.77,RandomForest,0,True,xls,low,431,web,22,False,False,suspicious
user_1,file_13,1,0.84,RandomForest,1,True,pdf,high,1718,email,22,True,True,suspicious
user_1,file_14,1,0.84,RandomForest,1,True,doc,medium,1678,usb,22,False,False,suspicious
user_1,file_15,1,0.78,RandomForest,1,True,pdf,low,1478,usb,22,False,True,suspicious
user_1,file_16,0,0.52,RandomForest,0,True,pdf,low,292,usb,22,True,False,suspicious
user_1,file_17,1,0.77,RandomForest,1,True,pdf,medium,317,email,22,False,False,suspicious
user_1,file_18,0,0.8,RandomForest,0,True,doc,medium,269,email,22,True,False,suspicious
user_1,file_19,0,0.9,RandomForest,0,True,xls,medium,186,usb,22,False,True,suspicious
user_1,file_20,1,0.86,RandomForest,1,True,doc,medium,1271,email,22,False,True,suspicious
user_1,file_21,1,0.83,RandomForest,1,True,doc,medium,1722,email,22,False,False,suspicious
